PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
061320,2011-01-01 00:00:00,2011-12-31 00:00:00,Settled,,7836291,21458792
194088,2011-01-01 00:00:00,2011-12-31 00:00:00,Settled,6210487,19027436,10723450
360144,2011-01-01 00:00:00,2011-12-31 00:00:00,Reopened,114870530,212132711,241655416
150146,2011-01-01 00:00:00,2011-12-31 00:00:00,Reopened,28439024,28274606,82740185
230021,2010-10-01 00:00:00,2011-09-30 00:00:00,Reopened,266229031,292689036,311783428
050549,2011-01-01 00:00:00,2011-12-31 00:00:00,Reopened,244516735,1066490504,385310187
394051,2011-07-01 00:00:00,2012-06-30 00:00:00,Settled,22207048,31079386,11326513
454029,2011-07-01 00:00:00,2012-06-30 00:00:00,Reopened,22048461,42651951,7860606
210013,2011-09-01 00:00:00,2012-08-31 00:00:00,Settled,95907155,97139116,70315218
370036,2011-07-01 00:00:00,2012-06-30 00:00:00,Reopened,4489942,3512130,3962182
050624,2010-10-01 00:00:00,2011-09-30 00:00:00,Reopened,206618855,803615773,310540951
151331,2011-01-01 00:00:00,2011-12-31 00:00:00,Settled,33262036,27135622,72958113
271344,2011-07-01 00:00:00,2012-06-30 00:00:00,Settled,31720855,14494652,29334059
191326,2011-01-01 00:00:00,2011-12-31 00:00:00,Reopened,,2504779,3727355
390313,2011-01-01 00:00:00,2011-12-31 00:00:00,Reopened,16471499,24492751,24723236
450024,2010-10-01 00:00:00,2011-09-30 00:00:00,Settled,231826304,410578680,317035046
121302,2011-07-01 00:00:00,2012-06-30 00:00:00,Settled,7578089,4092651,2950567
431324,2011-07-01 00:00:00,2012-06-30 00:00:00,Settled,,1897589,3877232
453029,2011-01-01 00:00:00,2011-12-31 00:00:00,Reopened,15175489,29848717,1987876
360039,2011-01-01 00:00:00,2011-12-31 00:00:00,Reopened,242260616,349033928,376327136
241335,2010-10-01 00:00:00,2011-09-30 00:00:00,Settled,21471801,14283552,16913508
104026,2011-01-01 00:00:00,2011-12-31 00:00:00,Settled,13818891,37964130,4883200
050771,2011-08-15 00:00:00,2011-12-31 00:00:00,Reopened,12168503,34824347,14685453
490077,2010-10-01 00:00:00,2011-09-30 00:00:00,Reopened,163644940,179144138,256750118
180093,2011-01-01 00:00:00,2011-12-31 00:00:00,Reopened,118193573,153336301,172569267
510029,2010-10-01 00:00:00,2011-09-30 00:00:00,Reopened,142751180,172909795,167496188
180104,2011-09-01 00:00:00,2012-08-31 00:00:00,Reopened,209903120,351769882,376641529
673039,2011-01-01 00:00:00,2011-12-31 00:00:00,Settled,6628829,8472848,117540
360092,2011-01-01 00:00:00,2011-12-31 00:00:00,Reopened,56437462,28054283,103736463
251317,2011-01-01 00:00:00,2011-12-31 00:00:00,Settled,9095214,10373873,8076127
241306,2011-01-01 00:00:00,2011-12-31 00:00:00,Settled,,5636393,19163894
010045,2010-10-01 00:00:00,2011-09-30 00:00:00,Reopened,22674332,31471391,44987233
161357,2011-07-01 00:00:00,2012-06-30 00:00:00,Reopened,,6052651,26324629
040041,2011-09-01 00:00:00,2012-08-31 00:00:00,Reopened,56852292,185067266,230271174
131325,2011-01-01 00:00:00,2011-12-31 00:00:00,Reopened,60448512,52847067,85065277
070002,2010-10-01 00:00:00,2011-09-30 00:00:00,Reopened,551734051,898866337,635137723
050644,2011-09-01 00:00:00,2012-08-31 00:00:00,Reopened,49101413,179106057,25148051
381307,2011-07-01 00:00:00,2012-06-30 00:00:00,Settled,14574871,4531670,11155318
670044,2011-01-01 00:00:00,2011-12-31 00:00:00,Reopened,66382121,83748980,134728916
