PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
103031,2022-01-01 00:00:00,2022-12-31 00:00:00,Amended,39253717,80169808,182
330135,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,86027490,246192641,304791335
261316,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,16200303,58451663
394050,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,10953672,51306500,1471240
450447,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,59641311,160444573,262354812
251329,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,,1999945,5970831
050150,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,177673005,346622950,433681915
160153,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,176687893,295413043,229334435
404007,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,6713567,4199574,6616637
151335,2022-07-01 00:00:00,2022-12-15 00:00:00,Settled,,3638799,16640097
420106,2021-10-01 00:00:00,2022-09-30 00:00:00,As Submitted,128307454,213552309,472294659
310073,2022-01-01 00:00:00,2022-12-31 00:00:00,Amended,942335838,3066620913,1387299797
151318,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,,58372639,126619405
670060,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,86100775,199351109,304737254
104081,2022-04-01 00:00:00,2023-03-31 00:00:00,Settled,10041666,25963500,
100084,2022-07-01 00:00:00,2023-06-30 00:00:00,As Submitted,260888304,874283276,335277895
670090,2022-01-01 00:00:00,2022-12-31 00:00:00,Amended,40810560,101340339,146193799
241367,2022-01-01 00:00:00,2022-12-31 00:00:00,Amended,,20124420,169099416
251326,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,13832222,7418675,11844986
310108,2022-01-01 00:00:00,2022-12-31 00:00:00,Amended,663976276,1694894026,1331101854
454136,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,11175815,22028002,2559000
330153,2022-01-01 00:00:00,2022-12-31 00:00:00,As Submitted,392383468,653739943,677302689
140275,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,93869337,51899883,255829213
154057,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,15716589,54579800,1310050
511314,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,2568611,23705359
440148,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,13691821,11406741,55669037
201302,2021-10-01 00:00:00,2022-09-30 00:00:00,As Submitted,104892021,36839593,135145405
450822,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,88315426,560619711,608655089
050295,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,292860398,824201623,702571491
520198,2022-01-01 00:00:00,2022-12-31 00:00:00,Amended,174520884,142047089,572001722
334002,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,55681577,71166120,
510012,2021-10-01 00:00:00,2022-09-30 00:00:00,Amended,51543970,25535283,116109986
100071,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,126171878,572876451,623987493
160082,2022-01-01 00:00:00,2022-12-31 00:00:00,As Submitted,802427621,1753353622,1534874084
521335,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,,27047741,125919928
210001,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,332146515,232193267,212323210
521308,2022-01-01 00:00:00,2022-12-31 00:00:00,As Submitted,62208336,21930143,109159490
361315,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,5259771,83081594
054093,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,50135915,55253468,52904320
120026,2022-07-01 00:00:00,2023-06-30 00:00:00,Amended,243780281,371208661,454989139
430083,2021-10-01 00:00:00,2021-11-23 00:00:00,Settled,4617937,1674,154600
060010,2022-07-01 00:00:00,2023-06-30 00:00:00,Amended,536512723,733939158,1788314328
190190,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,12048137,19648129,9391005
390042,2022-07-01 00:00:00,2023-06-30 00:00:00,As Submitted,228731109,192796749,390960702
034036,2022-01-01 00:00:00,2022-12-04 00:00:00,Settled,5707743,6870071,
281331,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,18244924,6472065,17555692
153043,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,26878060,72652326,
161353,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,12572185,50553816
070007,2021-10-01 00:00:00,2022-09-30 00:00:00,Amended,386626975,377108668,818261813
030139,2022-01-01 00:00:00,2022-12-31 00:00:00,As Submitted,113792898,127122999,587070403
451353,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,,1691208,8692475
160079,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,338556066,377963621,1093725773
151309,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,4031251,62979184
371329,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,1871092,11976561
452029,2022-09-01 00:00:00,2023-08-31 00:00:00,Settled,9913817,50331013,
334046,2022-04-01 00:00:00,2023-03-31 00:00:00,Settled,72862226,390328,6071325
180093,2022-09-01 00:00:00,2023-08-31 00:00:00,Amended,188417789,358739285,1010814362
330218,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,109633634,88573115,226408666
390104,2022-07-01 00:00:00,2023-06-30 00:00:00,As Submitted,21132122,4818282,51282050
190079,2022-08-01 00:00:00,2023-07-31 00:00:00,Settled,71395093,36843475,161536737
151324,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,,7051461,93283996
324010,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,18262225,87148720,5369175
510038,2022-07-01 00:00:00,2022-12-31 00:00:00,As Submitted,22206361,20026301,52537741
102023,2021-12-01 00:00:00,2022-11-30 00:00:00,Settled,35564514,253066043,
050541,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,362043956,669155379,570102341
100200,2022-07-01 00:00:00,2023-06-30 00:00:00,Amended,135643009,261707300,329006166
050492,2022-09-01 00:00:00,2023-08-31 00:00:00,Settled,609845652,1420907662,1527478076
450229,2022-09-01 00:00:00,2023-08-31 00:00:00,Settled,634187570,2591382636,3124868674
224018,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,18949732,26945000,22821620
140059,2022-07-01 00:00:00,2023-06-30 00:00:00,As Submitted,47851990,13463449,131520184
340096,2022-01-01 00:00:00,2022-12-31 00:00:00,Amended,99045806,126766624,342494654
450222,2022-01-01 00:00:00,2022-12-31 00:00:00,Amended,209946485,1867293309,1041569244
330250,2021-10-01 00:00:00,2022-09-30 00:00:00,As Submitted,381596723,421159717,704380271
021310,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,,13790,96003
450647,2022-06-01 00:00:00,2023-05-31 00:00:00,Amended,814885964,7419126452,2387726860
673061,2022-06-01 00:00:00,2023-05-31 00:00:00,Settled,63657300,157118855,16773415
430005,2022-06-01 00:00:00,2023-05-31 00:00:00,Settled,96110464,48600622,189617667
361312,2022-01-01 00:00:00,2022-12-31 00:00:00,Reopened,26694974,23675591,108121367
310091,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,52290747,118771366,219777394
351310,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,2426787,16042508
161369,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,6168642,55598233
471305,2021-10-01 00:00:00,2022-09-30 00:00:00,As Submitted,,22919620,111855977
100049,2021-11-01 00:00:00,2022-10-31 00:00:00,Settled,84451053,389403081,407529483
050309,2022-01-01 00:00:00,2022-12-31 00:00:00,As Submitted,820223336,2144971153,1373076398
050025,2022-07-01 00:00:00,2023-06-30 00:00:00,As Submitted,2713947460,5356458261,5354463371
450023,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,130042430,240108570,405432908
161364,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,10619200,90019928
491307,2022-01-01 00:00:00,2022-12-31 00:00:00,As Submitted,,11896640,72728764
192031,2022-09-01 00:00:00,2023-08-31 00:00:00,Settled,14583316,109502443,6551084
250018,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,15943872,11070978,8459774
050054,2022-07-01 00:00:00,2023-06-30 00:00:00,As Submitted,97393106,170240516,306733143
050278,2022-01-01 00:00:00,2022-12-31 00:00:00,As Submitted,495066807,1832014631,929131244
431319,2022-01-01 00:00:00,2022-12-31 00:00:00,As Submitted,,11320988,10949789
454139,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,30747348,82987150,5827725
220002,2021-10-01 00:00:00,2022-09-30 00:00:00,Amended,317685995,207844762,418783629
513027,2022-08-01 00:00:00,2023-07-31 00:00:00,Amended,16023031,32134401,
330270,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,849014860,1220313412,1523544242
230021,2022-01-01 00:00:00,2022-12-31 00:00:00,Amended,439020934,489776234,904174229
010108,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,60875293,93363520,143521577
100067,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,415900270,1076128740,1063283870
490077,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,256811752,292502469,617787661
141310,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,,9839012,78203580
424011,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,32484758,29582661,6918
450064,2022-01-01 00:00:00,2022-12-31 00:00:00,Amended,251158601,698560492,508248641
170016,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,202617551,415899187,708322585
240040,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,104801420,96271205,189655826
670108,2022-06-01 00:00:00,2023-05-31 00:00:00,Settled,118875766,107632780,440803072
341304,2021-10-01 00:00:00,2022-09-30 00:00:00,As Submitted,,4798292,37956117
260009,2022-06-01 00:00:00,2023-05-31 00:00:00,Settled,120968800,78436595,334501166
123300,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,613631107,365994770
110209,2022-01-01 00:00:00,2022-12-31 00:00:00,As Submitted,15707257,39856800,56738928
010046,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,97742587,512635518,409809582
451359,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,,9502639,29293006
250136,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,27838673,82527996,176330304
140048,2022-01-01 00:00:00,2022-12-31 00:00:00,As Submitted,452587074,791334739,908332424
450422,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,59344193,22603009,169141807
440153,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,41781633,122395168,205444243
341307,2022-01-01 00:00:00,2022-12-31 00:00:00,As Submitted,34168038,10724793,92764017
161311,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,2809864,19470062
492007,2022-06-01 00:00:00,2023-05-31 00:00:00,Settled,11159816,32875314,
170197,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,46202215,64687248,82938338
431323,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,,10528757,44924284
123025,2021-10-01 00:00:00,2022-09-30 00:00:00,As Submitted,43306220,65852184,6421720
500041,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,260790773,427516518,704485488
103048,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,16325659,27971407,
450132,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,296266798,636735020,520187401
422007,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,26244163,215360330,523084
290003,2022-02-01 00:00:00,2023-01-31 00:00:00,Amended,738737501,8155398224,2635922624
140007,2022-07-01 00:00:00,2023-06-30 00:00:00,As Submitted,397128486,1128628701,1015256470
450610,2022-07-01 00:00:00,2023-06-30 00:00:00,As Submitted,645192939,1346567651,1384508056
250058,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,128239762,116711582,260287170
042011,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,7476600,18954157,1775627
464015,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,13609840,31275910,28360
360354,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,325784687,482350391,974112163
104049,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,14424868,45079046,
172007,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,25428239,180888917,136911
443030,2022-06-01 00:00:00,2023-05-31 00:00:00,As Submitted,11571616,21279150,
210065,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,145662998,86146919,55261467
131303,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,14293555,5247711,15391913
110130,2021-12-01 00:00:00,2022-11-30 00:00:00,Settled,15727871,12701715,29005133
100220,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,614653860,2212296105,1051134838
451390,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,,10677835,45764923
230078,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,42604890,20271927,103754898
110092,2021-10-01 00:00:00,2022-09-30 00:00:00,Settled,22268117,16644440,58506146
210037,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,210417170,123206981,193760688
041331,2022-01-01 00:00:00,2022-12-31 00:00:00,Reopened,,18652172,69671516
040132,2022-01-01 00:00:00,2022-12-31 00:00:00,Settled,6941971,9785337,3904808
210003,2022-07-01 00:00:00,2023-06-30 00:00:00,Settled,349858283,302116389,154029373
190027,2022-07-01 00:00:00,2023-06-30 00:00:00,Amended,202128446,530316954,503884502
