PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
453315,2019-07-01 00:00:00,2020-06-30 00:00:00,Reopened,,504319461,493312160
361333,2019-01-01 00:00:00,2019-12-31 00:00:00,Reopened,65063910,31553254,112091842
271323,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,24731626,11160292,27240573
370034,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,63272269,97173632,120826749
142008,2019-09-01 00:00:00,2020-08-31 00:00:00,Reopened,77132986,267780873,2731316
193098,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,13542998,29900547,229363
464001,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,71222281,45112213,
100026,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,154493282,403144280,497359277
422004,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled,24327700,54499086,8566
190303,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,27964746,35272354,140258897
140191,2019-07-01 00:00:00,2020-06-30 00:00:00,As Submitted,305087179,537034202,895159689
320086,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,40911744,89918694,172706892
490018,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,263787384,346142725,739741195
171337,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled,,3602190,23061206
101312,2019-07-01 00:00:00,2019-09-30 00:00:00,Settled,,92638,10847327
171362,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,37000552,18250813,61817844
053305,2019-09-01 00:00:00,2020-08-31 00:00:00,As Submitted,,4463023087,1080969049
050742,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,77269135,400803233,171965610
361321,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,,6079874,35989410
261311,2019-04-01 00:00:00,2020-03-31 00:00:00,Settled,,24254158,108642279
241300,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,9228488,5580634,10355927
110161,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled,1290188891,2166489547,4563522037
084005,2018-11-01 00:00:00,2018-12-31 00:00:00,Settled,2233793,2285218,
261308,2019-09-01 00:00:00,2020-08-31 00:00:00,Settled,,7877791,37496063
521302,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,,10379135,23479096
200052,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled,44633005,30050701,49816261
170074,2019-05-01 00:00:00,2020-04-30 00:00:00,Settled,34024965,21937207,71842139
152027,2018-11-01 00:00:00,2019-01-30 00:00:00,Settled,3184306,4114722,
271319,2018-11-01 00:00:00,2019-10-31 00:00:00,Settled,,1937165,5944761
200020,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,139891568,94291732,260510929
030087,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,425882674,1680746425,1352308342
111316,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,14480466,11953845,10585830
050454,2019-07-01 00:00:00,2020-06-30 00:00:00,Amended,3094281042,8246634958,5392082911
342018,2019-02-01 00:00:00,2020-01-31 00:00:00,Settled,16984283,61764505,256208
110064,2019-07-01 00:00:00,2020-06-30 00:00:00,Reopened,312310970,578385930,773338214
340115,2018-10-01 00:00:00,2019-09-30 00:00:00,Reopened,469632330,1150720393,1219566208
210060,2019-01-01 00:00:00,2019-10-26 00:00:00,Settled,36882305,19434514,24323227
452041,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,13358291,63857952,6501563
390174,2019-07-01 00:00:00,2020-06-30 00:00:00,Reopened,1518985222,3701606176,2348700124
030123,2019-01-01 00:00:00,2019-12-31 00:00:00,Reopened,133247383,564502604,422334622
424005,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,91865384,74523273,3791
100175,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled,34787772,28259021,104270904
281364,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled,,23154084,91005353
673058,2019-05-01 00:00:00,2020-04-30 00:00:00,Settled,30003004,12106526,47790164
140145,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,44906376,23024865,106339156
521339,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,,3051890,26662678
670107,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,23884907,10148856,115898988
340039,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled,142550442,298099476,307325173
104059,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,4096833,8700784,
450447,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,43413297,128599303,219781831
370093,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,1029883175,4428525530,2819721120
102029,2019-09-01 00:00:00,2020-08-31 00:00:00,Settled,23887147,85121296,130083
220177,2018-10-01 00:00:00,2019-09-30 00:00:00,Reopened,40711815,9762208,61735466
230165,2019-07-01 00:00:00,2020-06-30 00:00:00,Reopened,729987266,1061096024,1115962938
040134,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled,166077513,278808993,384732489
050174,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,476314034,1640830588,1275387989
281333,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,8560460,2754015,6671125
330215,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,85454397,91148214,214647676
503025,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,46678518,75205372,33624147
070016,2018-10-01 00:00:00,2019-09-30 00:00:00,Reopened,266791120,383866128,576964967
290022,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,219313968,1580821900,769401841
450462,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,551199931,1466036019,735835610
450007,2019-07-01 00:00:00,2020-06-30 00:00:00,Reopened,129052455,180128756,365249330
140040,2019-05-01 00:00:00,2020-04-30 00:00:00,Settled,40798086,96861907,205268685
222048,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled,24157035,60777461,6244218
500008,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,1112282834,1767943610,1622706698
104027,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,7659563,13704062,
210057,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,340389780,286503733,198672666
054122,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,378982853,358254306,27597
420089,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,125658551,438733706,332966249
520107,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,91162520,87344716,196606077
441309,2019-07-01 00:00:00,2020-06-30 00:00:00,Reopened,,2892668,35293640
340159,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,23913354,39435378,105175139
100204,2019-03-01 00:00:00,2020-02-29 00:00:00,Reopened,371203471,3194463255,1959190036
420019,2018-10-01 00:00:00,2019-02-28 00:00:00,Settled,17548244,19720067,42719004
120022,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,377373054,454410143,557486432
450072,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,75863158,97698849,230376924
292004,2019-09-30 00:00:00,2020-08-31 00:00:00,Settled,11844795,90424464,5668
290058,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,43809108,27372650,425331026
340087,2018-10-01 00:00:00,2019-01-31 00:00:00,Settled,20785145,13747857,63569890
330203,2019-01-01 00:00:00,2019-12-31 00:00:00,Reopened,389677073,516042118,380926808
011302,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled,,5950918,17970449
043028,2019-06-01 00:00:00,2020-05-31 00:00:00,Settled,16817277,37774144,1158
410007,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled w/Audit,1082933324,1829294424,1937968895
110076,2019-09-01 00:00:00,2020-08-31 00:00:00,Settled w/Audit,339091587,623848556,542662709
140187,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,231642543,406655099,515740987
390312,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,96735428,57995928,370217445
390110,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled w/Audit,284409409,568377277,530134036
141336,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,,19377682,87466227
144034,2019-07-01 00:00:00,2020-06-30 00:00:00,Settled,26968886,68365918,8198659
041316,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,,4676394,23833282
521347,2018-10-01 00:00:00,2019-09-30 00:00:00,Settled,,7194324,58200532
180115,2018-11-01 00:00:00,2019-10-31 00:00:00,Settled,66350597,110963945,75807344
520193,2019-01-01 00:00:00,2019-12-31 00:00:00,Reopened,345986294,466787853,842109628
010046,2019-01-01 00:00:00,2019-12-31 00:00:00,Settled,82608953,487569330,410879597
492009,2019-08-01 00:00:00,2020-07-31 00:00:00,Settled,23738995,132119381,38790
