PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
393027,2014-07-01 00:00:00,2015-06-30 00:00:00,Settled,26443044,49672159,5114917
150172,2014-01-01 00:00:00,2014-12-31 00:00:00,Settled,17099423,3788914,83502490
050526,2014-01-01 00:00:00,2014-12-31 00:00:00,Settled,42780835,155102251,48545785
340156,2013-10-01 00:00:00,2014-09-30 00:00:00,Settled,20455516,17381,384240
330008,2014-01-01 00:00:00,2014-12-31 00:00:00,Reopened,44876997,35632133,22086166
320063,2014-09-01 00:00:00,2015-08-31 00:00:00,Settled,51301978,106762855,208434661
140223,2014-01-01 00:00:00,2014-12-31 00:00:00,Reopened,553987001,1278807097,801200102
501310,2014-01-01 00:00:00,2014-12-31 00:00:00,Settled,24314057,11349175,25346221
511319,2014-01-01 00:00:00,2014-12-31 00:00:00,Settled w/Audit,,15302403,66214535
451305,2014-01-01 00:00:00,2014-12-31 00:00:00,Reopened,,5364391,38006026
054104,2014-02-01 00:00:00,2015-01-31 00:00:00,Settled,20222631,46048957,7999243
151320,2013-10-01 00:00:00,2014-09-30 00:00:00,Settled,25391635,13529929,57989464
252013,2013-11-01 00:00:00,2014-10-31 00:00:00,Settled,11122224,31445292,4725489
423027,2014-01-01 00:00:00,2014-12-31 00:00:00,Reopened,13405088,25645324,2176941
122001,2014-07-01 00:00:00,2015-06-30 00:00:00,Settled,20704322,20799957,26368
310119,2014-07-01 00:00:00,2015-06-30 00:00:00,Reopened,534741272,1551500743,671171294
400021,2014-01-01 00:00:00,2014-12-31 00:00:00,Reopened,65576642,85729540,46344832
531309,2014-07-01 00:00:00,2015-06-30 00:00:00,Settled,15439974,9237542,9899933
102009,2014-09-01 00:00:00,2015-08-31 00:00:00,Settled,52171475,275706157,
050257,2014-01-01 00:00:00,2014-12-31 00:00:00,Settled,20477001,41667647,10009487
390130,2014-09-01 00:00:00,2015-06-30 00:00:00,Settled,12908326,4648567,33607129
440058,2014-01-01 00:00:00,2014-12-31 00:00:00,Reopened,51937039,140138839,180056130
230070,2014-07-01 00:00:00,2015-06-30 00:00:00,Reopened,375392735,955790797,679041069
330004,2014-01-01 00:00:00,2014-12-31 00:00:00,Reopened,92174724,208197373,128563331
393025,2014-07-01 00:00:00,2015-06-30 00:00:00,Reopened,58532206,161122035,39787943
