PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
142009,2024-09-01 00:00:00,2025-03-18 00:00:00,As Submitted,11471908,44386714,257120
260097,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,109081526,47049351,294283191
440049,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,1565312974,4004747179,3237077868
454150,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,13135973,26347106,2517000
360351,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,191994123,145363374,753284582
371335,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,,2557998,20222357
230208,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,48101747,13593125,143492000
100040,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,416648993,1432578380,1830076930
020026,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,633848790,905840,5472468
070038,2023-10-01 00:00:00,2024-09-30 00:00:00,Settled,19835607,5985600,12833196
520075,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,334342926,653878547,929074190
241329,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,126365855,36900895,183499121
043035,2024-06-01 00:00:00,2025-05-31 00:00:00,As Submitted,19658590,43598814,
493031,2024-06-01 00:00:00,2025-05-31 00:00:00,As Submitted,21112401,36954977,
241303,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,,2512669,21674692
530012,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,197369930,459846606,310601642
322003,2024-06-01 00:00:00,2025-05-31 00:00:00,As Submitted,22612970,62975446,
170014,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,52028534,55404670,278399252
364053,2024-01-01 00:00:00,2024-06-30 00:00:00,Settled,11593700,30271438,7648496
330085,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,99714514,48749561,241533032
490113,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,291392646,515403861,675727077
260119,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,201193916,1235338400,1102927671
670309,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,76397187,95628811,273184592
510022,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,1391995684,2997475872,2953788160
080007,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,535872548,647416853,1405972008
051304,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,35602608,12138456,30771306
040062,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,440369524,746582831,1187880486
141346,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,46447753,10449875,103298265
191305,2024-04-01 00:00:00,2025-03-31 00:00:00,As Submitted,,5343047,50660408
224041,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,44546889,97983095,
364029,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,25109606,82591600,4098546
181328,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,,28805742,120049369
030071,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,133657370,116280,1329462
240001,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,666185155,1048986533,815235034
150126,2024-01-01 00:00:00,2024-12-31 00:00:00,Amended,271578020,585403392,735174397
520208,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,66584386,95751543,218992826
393054,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,22887782,47110963,
440187,2024-03-01 00:00:00,2025-02-28 00:00:00,As Submitted,35237001,159709637,99196058
250138,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,147689663,967940502,1177684974
180101,2024-03-01 00:00:00,2025-02-28 00:00:00,As Submitted,74833882,171157489,625292147
453025,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,159787196,289174574,208382229
222047,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,27147340,39298814,9014896
050150,2024-01-01 00:00:00,2024-12-31 00:00:00,Amended,183636115,378840475,506760311
170120,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,83994513,26994434,207415913
450039,2023-10-01 00:00:00,2024-09-30 00:00:00,Amended,1238853695,1801586367,2345808026
231319,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,,21020821,127751986
310083,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,97083121,232374630,176973830
070007,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,392409877,581176042,985791430
430098,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,83747072,37100,489190
330090,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,326030683,292256273,666532320
190099,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,34652988,21569259,112442272
173025,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,17836268,31232298,
040781,2023-12-05 00:00:00,2024-12-31 00:00:00,As Submitted,11714900,,45626930
114036,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,22405795,72544401,3377288
161349,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,,5223825,52443153
033041,2024-06-01 00:00:00,2025-05-31 00:00:00,As Submitted,19104540,26609207,
312019,2023-11-01 00:00:00,2024-10-31 00:00:00,As Submitted,27495126,281492708,6765
040076,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,20620396,34141062,66494857
181331,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,27455051,19392760,74741754
260095,2024-04-01 00:00:00,2025-03-31 00:00:00,As Submitted,311645336,2228938763,1683647276
110104,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,98114961,89054533,229386275
410005,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,158849713,241748002,321366409
454104,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,18472309,48589687,4251388
431300,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,,13053166,42692878
330229,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,58148570,29408928,97764612
041324,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,,8311074,67845919
161321,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,,1939176,16046425
320084,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,38289774,8877178,111756211
171359,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,,5930303,13652805
031302,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,20472937,4504798,31998209
454117,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,7418582,12535814,4008625
290003,2024-02-01 00:00:00,2025-01-31 00:00:00,As Submitted,844785678,10723360726,3695252234
460021,2024-01-01 00:00:00,2024-12-31 00:00:00,Amended,621742296,982859621,1337704754
363035,2024-02-01 00:00:00,2025-01-31 00:00:00,As Submitted,23924605,75008105,4275026
331322,2023-12-07 00:00:00,2024-12-31 00:00:00,As Submitted,,17404333,154826825
230003,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,79741957,68803916,269658476
154035,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,6951077,3145515,5255164
010052,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,13240448,3022551,16444169
430095,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,147692763,411665012,518319651
220177,2023-10-01 00:00:00,2024-09-30 00:00:00,Amended,75919508,13239265,123076517
360082,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,113323343,240589427,284414697
350011,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,1127968856,1401052617,2320315908
250780,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,5089701,,4926376
500008,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,1917637131,3345910236,3254573890
190053,2023-12-01 00:00:00,2024-11-30 00:00:00,As Submitted,63045222,48191305,107657034
171319,2024-04-01 00:00:00,2024-12-31 00:00:00,As Submitted,,2213018,28825377
061319,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,,3538310,21889976
490021,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,728220161,1610568944,2002163440
050488,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,374665775,896516943,575404914
171365,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,,2792270,6641795
171379,2024-01-01 00:00:00,2024-12-31 00:00:00,Amended,,3299259,32763090
030024,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,1118498287,3966029792,2459747195
330238,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,78991469,49998078,186010849
160080,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,87663145,94943611,276007222
132001,2023-10-01 00:00:00,2024-09-30 00:00:00,Settled,16956440,33224528,6807
181330,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,,9788056,76172404
493027,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,23876623,109190306,
271329,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,,1701468,9698674
100298,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,179304694,52070624,260
281325,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,,1620637,13670982
330231,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,607061745,251879437,355182308
450155,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,31511396,7793571,47815388
221990,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,,2675527,
670082,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,269948750,718289460,589506626
144038,2024-07-01 00:00:00,2025-06-30 00:00:00,Settled,111459187,258763,473288
252013,2023-11-01 00:00:00,2024-10-31 00:00:00,As Submitted,9867553,26984300,6148001
271341,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,29526006,10527432,20459823
453317,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,,57572788,124712544
393039,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,20769148,37294556,
281350,2024-07-01 00:00:00,2025-06-30 00:00:00,Amended,,3157891,24284204
050071,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,1118160569,2496138388,2253299477
050192,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,219972442,51546573,422494245
360012,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,375250235,936399811,836772047
053037,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,30025053,65956989,3030602
140162,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,189070994,459888127,628379192
340087,2024-02-01 00:00:00,2025-01-31 00:00:00,Amended,71199676,68349248,279773731
453040,2024-08-01 00:00:00,2025-07-31 00:00:00,As Submitted,27294872,49655370,
390307,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,15587864,6551202,86540061
040050,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,28422091,24036676,91833659
350002,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,203396132,275932837,324301156
340003,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,108698836,67519719,179748326
370015,2024-04-01 00:00:00,2025-03-31 00:00:00,As Submitted,34533586,12673455,169396694
174006,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,36987579,35372260,
281359,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,,9821159,63045340
494029,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,66271195,67755684,29
444031,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,15823493,38184343,
471307,2023-10-01 00:00:00,2024-09-30 00:00:00,Amended,,25553765,163868801
450669,2024-06-01 00:00:00,2025-05-31 00:00:00,As Submitted,153480721,1304929323,898273437
012006,2024-04-01 00:00:00,2025-03-31 00:00:00,As Submitted,16301574,36748788,45333
192057,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,10045896,37900764,
241351,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,,9485711,81715444
231311,2024-07-01 00:00:00,2024-12-31 00:00:00,As Submitted,,449736,5956693
450742,2024-06-01 00:00:00,2025-05-31 00:00:00,As Submitted,224981901,510654565,730263848
121300,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,62665951,36268004,54998645
110051,2024-05-01 00:00:00,2025-04-30 00:00:00,As Submitted,90207141,69525636,226418167
450143,2024-07-01 00:00:00,2025-08-10 00:00:00,As Submitted,21296636,13013805,116683966
344023,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,22271476,18548603,58868
171337,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,,3224477,29886584
510070,2024-06-01 00:00:00,2025-05-31 00:00:00,As Submitted,165302018,572067298,461102931
670005,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,25964397,8116057,121352435
031312,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,,7007707,282981071
104040,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,12568472,14990514,
260104,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,483202482,819500617,1036615530
363041,2024-04-01 00:00:00,2025-03-31 00:00:00,As Submitted,25764516,117445039,
521334,2024-01-01 00:00:00,2024-06-30 00:00:00,As Submitted,,9205997,55230330
100290,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,238525369,951586755,464993174
050541,2024-01-01 00:00:00,2024-12-31 00:00:00,As Submitted,385252034,765134160,730680534
193096,2024-06-01 00:00:00,2025-05-31 00:00:00,As Submitted,6914287,16649406,
170199,2024-01-01 00:00:00,2024-12-31 00:00:00,Settled,11773465,11607009,28544330
231330,2024-07-01 00:00:00,2024-12-31 00:00:00,As Submitted,22745503,6381135,31823948
150082,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,961158198,1752810928,2197388702
040119,2023-10-01 00:00:00,2024-09-30 00:00:00,Amended,172830560,253635588,387847931
110083,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,1279197170,4460396827,3350557074
450236,2024-07-01 00:00:00,2025-06-30 00:00:00,As Submitted,125306746,257017943,661392012
450848,2023-10-01 00:00:00,2024-09-30 00:00:00,As Submitted,267336648,669867380,1041056051
