PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
390096,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,173902994,313706490,475752267
110104,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,60897576,68491010,123038328
390102,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,186311816,610219712,740143167
371310,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,,2866173,7351647
450018,2016-09-01 00:00:00,2017-08-31 00:00:00,Reopened,1225694113,1298326364,3265826587
360118,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,236337918,305261182,428523374
330208,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,224871588,427157802,291079223
144010,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,39552311,459316,
501340,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,,877655,19493484
131311,2015-10-01 00:00:00,2016-09-30 00:00:00,Settled w/Audit,27222887,10510697,35196963
292003,2016-06-01 00:00:00,2017-05-31 00:00:00,Settled,36147672,63306783,
504003,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,192253292,181121507,144062
241332,2016-05-01 00:00:00,2017-04-30 00:00:00,Settled,,4384312,22237847
263301,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,,614413275,394396603
171321,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,,6543313,9466206
101311,2015-10-01 00:00:00,2016-09-30 00:00:00,Settled,,9383956,12910746
070012,2015-10-01 00:00:00,2016-09-30 00:00:00,Reopened,73638927,97632050,154480517
390151,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,281635145,370684209,522960530
060117,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,24956054,34331148,65593554
240080,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,1217885932,2395664562,1384525636
171319,2016-04-01 00:00:00,2017-03-31 00:00:00,Settled,,3165081,20266612
263032,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,17660402,31766473,
292008,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,12253925,51402677,
180011,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,113058512,152362685,356255152
250069,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,106377770,200537940,216099675
190297,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,10192028,22197087,18875885
141340,2016-05-01 00:00:00,2016-08-31 00:00:00,Settled,,6604179,24271538
670096,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,201555748,332027462,329771155
360266,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,79268358,257602549,75644489
450076,2016-09-01 00:00:00,2017-08-31 00:00:00,Reopened,,2087865080,4541333696
092003,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,40783769,96511162,
390066,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,181510564,215485662,403164500
490041,2016-09-01 00:00:00,2017-08-31 00:00:00,Reopened,146628284,312480007,340788784
050760,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,311863241,376215737,475616144
050242,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,340826961,1231574183,576222735
390258,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,364740301,923065589,837698470
061305,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,,2115456,11939681
360362,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,47119635,27935282,172257940
371334,2016-05-01 00:00:00,2017-04-30 00:00:00,Reopened,,4171500,4436588
424006,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,12396009,43125800,2301139
050149,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,291613679,932745416,518251766
030071,2015-10-01 00:00:00,2016-09-30 00:00:00,Settled,70415380,176472,1318338
260004,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,10301528,4538978,19196924
100045,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,113598586,310562460,331326239
100030,2015-10-01 00:00:00,2016-09-30 00:00:00,Reopened,153199767,516889390,394272072
331304,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,16939884,12593347,12151973
394014,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,68113013,68384756,
191319,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,12881714,6067066,6581782
220080,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,227072691,189340244,260213693
281331,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,13186749,6323029,12250650
050678,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,228516517,681976274,451834901
150165,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,69106440,66711102,183720916
501326,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,,23998021,69716703
340010,2015-10-01 00:00:00,2016-06-30 00:00:00,Settled,157162290,171708717,242749252
280131,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,28514491,52285653,65469068
370211,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,50834691,106188196,177809417
140059,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,31046587,14632575,72737766
170182,2016-06-01 00:00:00,2017-05-31 00:00:00,Settled,156946785,493696098,471591885
111328,2016-08-01 00:00:00,2017-07-31 00:00:00,Settled w/Audit,,8958509,23317278
514009,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,31052977,28960820,
330157,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,176288319,175626010,311688948
180070,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,35682743,37466409,89802497
390052,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,42390608,22382001,89957151
100228,2016-02-01 00:00:00,2017-01-31 00:00:00,Reopened,166008198,1312485734,530242969
454108,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,16599553,47229950,4755113
441307,2016-08-01 00:00:00,2017-07-31 00:00:00,Settled,18697058,33239197,74664735
340096,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,82101885,69294265,254861367
140208,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,896471819,2374139252,1004822330
050006,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,222690525,573220631,650592413
670060,2015-11-01 00:00:00,2016-10-31 00:00:00,Settled,80728593,258042911,257109265
490104,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,82610241,85422820,81259
260064,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,63124951,32576627,124537824
440051,2016-02-01 00:00:00,2016-05-17 00:00:00,Settled,5213338,803686,14804149
450200,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,95850165,283649031,290860853
531315,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,,3149670,6078865
384008,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,243251838,144552628,
452102,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,24038470,214528456,45000
360095,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,172942914,157855584,261113182
390278,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,15625740,23579051,
442017,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,16610468,62786429,
340010,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,220575813,235592631,329535390
061311,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,,9250996,11585620
360230,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,340307185,700371240,641822271
140064,2015-10-01 00:00:00,2016-09-30 00:00:00,Settled,54907770,112337795,232345393
194107,2015-10-01 00:00:00,2016-09-30 00:00:00,Reopened,6039929,18489000,
310054,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,192307389,599599201,553536940
210029,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,527513189,356931672,293620644
230053,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled w/Audit,1301899717,1590599615,1717940960
050745,2016-04-01 00:00:00,2016-08-31 00:00:00,Settled,20168865,69107991,23416829
450130,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,111052425,326272604,139698038
171370,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,,3345722,25442258
010103,2015-10-03 00:00:00,2015-12-31 00:00:00,Reopened,48818241,219702798,117120261
372021,2016-06-01 00:00:00,2016-08-19 00:00:00,Settled,2948613,5333514,
281340,2016-03-01 00:00:00,2017-02-28 00:00:00,Settled,,1425677,7676488
452101,2016-08-01 00:00:00,2017-07-31 00:00:00,Settled,24165374,152692436,3572
393025,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,61826990,157244272,42823355
230254,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,166284420,319362341,253246757
151302,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,,6686880,29310770
330164,2016-07-01 00:00:00,2017-06-30 00:00:00,Reopened,268744064,321815031,323893550
171326,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,,5456568,8390499
520048,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,72735410,86018321,129660632
250095,2015-10-01 00:00:00,2016-09-30 00:00:00,Settled,23111949,12946281,28237124
051993,2016-04-01 00:00:00,2017-03-31 00:00:00,Settled,,3606261,
393036,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,34076948,36298943,27971131
173025,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,15525359,29149473,13640
450411,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,11866326,6150415,27273674
231305,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,20404945,11849883,36357887
050313,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,95660590,192514758,257654454
030108,2016-01-01 00:00:00,2016-12-31 00:00:00,Reopened,31825352,47119293,30645833
270003,2016-06-01 00:00:00,2017-05-31 00:00:00,Settled w/Audit,158591648,122698861,223130724
451324,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,,1413057,11844806
171317,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,8439764,5811034,5794019
141307,2016-05-01 00:00:00,2017-04-30 00:00:00,Settled,,4867400,33938453
140288,2016-01-01 00:00:00,2016-12-31 00:00:00,Settled,311459698,756300977,537782867
102016,2016-09-01 00:00:00,2017-08-31 00:00:00,Settled,12669477,117934288,
241375,2016-07-01 00:00:00,2017-06-30 00:00:00,Settled,11450929,6544422,11686432
