PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
360025,2017-01-01 00:00:00,2017-12-31 00:00:00,Reopened,206646227,235427160,378958752
380103,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled,213607337,1371340,861949
110007,2017-08-01 00:00:00,2018-07-31 00:00:00,Settled,424129686,680641090,944339380
511306,2016-10-01 00:00:00,2017-09-30 00:00:00,Settled,31087663,10285272,64500305
374008,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled,9362336,2332854,2939262
501326,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled,,25078690,74422575
100258,2017-01-01 00:00:00,2017-12-31 00:00:00,Reopened,289405867,1988763393,772929186
160067,2017-07-01 00:00:00,2018-06-30 00:00:00,Reopened,233761304,198041167,632970218
440046,2017-06-01 00:00:00,2018-05-31 00:00:00,Settled,73427019,237822106,369686867
450827,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled,32998872,35168163,60288291
334022,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled,16504390,28697970,6701577
140228,2017-07-01 00:00:00,2018-06-30 00:00:00,Reopened,352128138,909026875,1383310257
374016,2017-01-01 00:00:00,2017-12-31 00:00:00,Reopened,13146292,27590700,
030013,2016-10-01 00:00:00,2017-09-30 00:00:00,Reopened,382526600,725860988,942754828
240047,2017-01-01 00:00:00,2017-12-31 00:00:00,Reopened,307626614,432157407,466211299
051306,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled,,5318326,23741520
451391,2017-09-19 00:00:00,2017-12-31 00:00:00,Settled,,1671386,11301613
440029,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled,169362479,232447528,372311113
161348,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled,,2851864,23958742
330224,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled,55987376,166770698,36808604
330100,2017-01-01 00:00:00,2017-12-31 00:00:00,Reopened,110904393,9336170,343376277
111300,2017-08-01 00:00:00,2018-07-31 00:00:00,Reopened,13539608,7965231,19555450
191320,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled,,4190864,9836811
110082,2017-09-01 00:00:00,2018-08-31 00:00:00,Reopened,338305395,741500603,520581773
130025,2016-10-01 00:00:00,2017-09-30 00:00:00,Settled,57289245,43202379,63055800
192011,2017-09-01 00:00:00,2018-08-31 00:00:00,Reopened,32672036,244241110,528955
160146,2017-01-01 00:00:00,2017-12-31 00:00:00,Reopened,127178218,198220558,152643608
330163,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled w/Audit,56542607,88340332,94894945
361325,2017-07-01 00:00:00,2018-06-30 00:00:00,Reopened,82806906,38203572,121661405
451341,2016-10-01 00:00:00,2017-09-30 00:00:00,Reopened,,958043,6118887
330074,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled,126315152,124917080,226853209
141339,2016-10-01 00:00:00,2017-09-30 00:00:00,Settled w/Audit,,17618265,78882022
394043,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled,10445626,43555760,928911
080004,2017-07-01 00:00:00,2018-06-30 00:00:00,Reopened,347388437,507994162,556917057
360266,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled,79253303,226655759,101727362
221990,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled,,4305895,
440232,2017-01-01 00:00:00,2017-12-31 00:00:00,Reopened,4654846,1991667,9438010
423027,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled,15215653,27954212,1372655
192041,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled,4979123,12044080,
111314,2016-10-01 00:00:00,2017-10-31 00:00:00,Settled,18007138,11922110,17219753
100113,2017-07-01 00:00:00,2018-06-30 00:00:00,Reopened,1271009855,3159963778,1817792243
053040,2016-12-05 00:00:00,2017-09-30 00:00:00,Settled,13030137,19012938,
050597,2017-01-01 00:00:00,2017-12-31 00:00:00,Reopened,85674247,199261126,152388471
161343,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled,,14930013,70549163
030030,2017-04-01 00:00:00,2018-03-31 00:00:00,Reopened,115089886,470205858,364227199
161342,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled,,4450569,27324265
450097,2017-01-01 00:00:00,2017-12-31 00:00:00,Reopened,251237398,1421130118,1236623662
511312,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled,,7443973,42763411
161327,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled,,4822081,32164097
060044,2016-11-01 00:00:00,2017-10-31 00:00:00,Settled,28934034,50113431,91364348
050280,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled w/Audit,386917243,1072771909,741469626
050778,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled w/Audit,397703687,1868721118,211702547
452092,2017-09-01 00:00:00,2018-08-31 00:00:00,Settled,18133916,127848109,82080
330185,2017-01-01 00:00:00,2017-12-31 00:00:00,Reopened,291196084,709322218,466577210
303027,2017-01-01 00:00:00,2017-12-31 00:00:00,Settled,13211853,22458365,1275482
450788,2017-09-01 00:00:00,2018-08-31 00:00:00,Reopened,274096780,1855925180,1044693757
190017,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled,120385912,179534535,335232472
291300,2017-07-01 00:00:00,2018-06-30 00:00:00,Settled w/Audit,12818381,8224062,10262264
224022,2017-09-01 00:00:00,2017-12-31 00:00:00,Settled,7318753,15808196,2042901
040041,2017-09-01 00:00:00,2018-08-31 00:00:00,Settled,70012443,265450726,460887392
360211,2017-07-01 00:00:00,2018-06-30 00:00:00,Reopened,173261584,209717438,395435839
