PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
144009,2015-01-01 00:00:00,2015-12-31 00:00:00,Settled,23809508,59884243,6280784
371325,2015-07-01 00:00:00,2016-06-30 00:00:00,Settled,,1632287,3351332
264031,2015-06-30 00:00:00,2015-12-31 00:00:00,Settled,1496104,1913850,
420018,2014-10-01 00:00:00,2015-09-30 00:00:00,Settled,581927448,1678042109,898118323
450102,2015-07-01 00:00:00,2016-06-30 00:00:00,Reopened,457226622,1516018094,1702984905
452051,2015-05-01 00:00:00,2016-04-30 00:00:00,Settled,15889030,138969649,6127677
230117,2015-07-01 00:00:00,2016-06-30 00:00:00,Reopened,366787890,785496194,680352116
100191,2015-07-01 00:00:00,2016-06-30 00:00:00,Reopened,203175289,1310954097,883669729
180049,2015-09-01 00:00:00,2016-08-31 00:00:00,Settled,76190268,97566053,271204283
444023,2015-07-09 00:00:00,2015-12-31 00:00:00,Settled,1258557,1914592,
340109,2015-01-01 00:00:00,2015-12-31 00:00:00,Settled,84712783,108256568,170208684
390162,2015-07-01 00:00:00,2016-06-30 00:00:00,Reopened,133355290,702050506,745478609
500139,2015-05-01 00:00:00,2016-04-30 00:00:00,Settled,85233761,245238846,218810524
334048,2015-01-01 00:00:00,2015-12-31 00:00:00,Settled,29556112,39594252,13701
430091,2015-01-01 00:00:00,2015-12-31 00:00:00,Settled,41048591,132352069,32938900
454111,2015-01-01 00:00:00,2015-12-31 00:00:00,Settled,4927725,9394432,3808518
060011,2015-01-01 00:00:00,2015-12-31 00:00:00,Reopened,570491092,848417434,999737610
490046,2015-01-01 00:00:00,2015-12-31 00:00:00,Reopened,223232177,485767965,614642348
520009,2015-07-01 00:00:00,2016-06-30 00:00:00,Reopened,167416269,190095400,243811920
360046,2015-01-01 00:00:00,2015-12-31 00:00:00,Reopened,46965052,33331932,89822358
261331,2015-04-01 00:00:00,2016-03-31 00:00:00,Settled,,17822074,81281349
330008,2015-01-01 00:00:00,2015-12-31 00:00:00,Settled,47978114,36868156,34047764
160112,2015-07-01 00:00:00,2016-06-30 00:00:00,Settled,67311704,49923784,152551062
360058,2015-04-01 00:00:00,2016-03-31 00:00:00,Reopened,40741947,26459544,70903862
260160,2015-01-01 00:00:00,2015-12-31 00:00:00,Settled,18623179,8310545,42936603
370013,2015-07-01 00:00:00,2016-06-30 00:00:00,Reopened,318763881,626455753,919313426
100319,2015-01-01 00:00:00,2015-12-31 00:00:00,Reopened,115032555,323623811,364613697
030065,2015-01-01 00:00:00,2015-12-31 00:00:00,Reopened,565458086,1451231236,1070135905
372012,2015-06-01 00:00:00,2015-06-30 00:00:00,Settled,584390,1558913,1049
452111,2014-12-01 00:00:00,2015-11-30 00:00:00,Settled,20131293,57946332,7845558
430081,2014-10-01 00:00:00,2015-09-30 00:00:00,Settled,42457678,55107,575784
131328,2015-01-01 00:00:00,2015-12-31 00:00:00,Settled,,16421615,43736271
230053,2015-01-01 00:00:00,2015-12-31 00:00:00,Settled w/Audit,1195393722,1509325829,1599146752
140100,2015-07-01 00:00:00,2016-06-30 00:00:00,Settled,327372406,230330477,1114572992
112014,2015-03-01 00:00:00,2016-02-29 00:00:00,Reopened,12107490,51351461,
330196,2015-07-01 00:00:00,2016-06-30 00:00:00,Reopened,435025332,263316124,171709208
452031,2015-07-01 00:00:00,2016-06-30 00:00:00,Reopened,9100132,45643308,
080007,2015-07-01 00:00:00,2016-06-30 00:00:00,Reopened,303372415,444416367,526244871
260110,2015-01-01 00:00:00,2015-12-31 00:00:00,Reopened,214960469,379654415,453571756
453053,2015-01-01 00:00:00,2015-12-31 00:00:00,Settled,16334040,26440407,2030689
440173,2015-09-01 00:00:00,2016-08-31 00:00:00,Reopened,248666402,617695056,391225190
261309,2015-01-01 00:00:00,2015-12-31 00:00:00,Settled,,9242509,35917605
140176,2015-07-01 00:00:00,2016-06-30 00:00:00,Reopened,102322098,131529992,219563200
362026,2015-09-01 00:00:00,2016-05-31 00:00:00,Settled,30135175,81255566,9202
