PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
310050,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,250698883,682146052,465669705
044004,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,18206800,48800460,200475
443025,2018-07-01 00:00:00,2019-06-30 00:00:00,Settled,43811001,47558170,8537881
380051,2018-07-01 00:00:00,2019-06-30 00:00:00,Settled,614703160,1024047158,735743640
190202,2017-10-01 00:00:00,2018-09-30 00:00:00,Settled,184698010,214948552,567273838
260020,2018-07-01 00:00:00,2019-06-30 00:00:00,Reopened,909678605,1798497537,2019862106
490140,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,89087980,107698390,185779234
070003,2017-10-01 00:00:00,2018-09-30 00:00:00,Settled,107678016,66385606,183775224
194080,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,4000355,8329500,981271
314020,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,46005527,58503998,55844
451378,2017-10-01 00:00:00,2018-09-30 00:00:00,Settled,,27341463,45014956
100292,2018-07-01 00:00:00,2019-06-30 00:00:00,Settled,103496230,223475841,487633778
360236,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,109848949,217222770,331364375
140065,2018-01-01 00:00:00,2018-12-31 00:00:00,Reopened,140651612,301332340,290797444
260048,2018-07-01 00:00:00,2019-06-30 00:00:00,Reopened,377222625,313817624,406736110
250002,2017-10-01 00:00:00,2018-09-30 00:00:00,Settled,13965982,16227500,35520530
070006,2017-10-01 00:00:00,2018-09-30 00:00:00,Reopened,474787776,756485683,1505034981
100267,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,49936866,273718544,370545824
061309,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,,8327209,21525721
441313,2018-07-01 00:00:00,2019-06-30 00:00:00,Settled,,2630514,15580029
171361,2017-10-01 00:00:00,2018-09-30 00:00:00,Settled,,6175188,7496251
330084,2017-10-01 00:00:00,2018-09-30 00:00:00,Settled,78100953,54379571,120750373
450498,2017-10-01 00:00:00,2018-09-30 00:00:00,Settled,11899091,2785243,35803404
360091,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled w/Audit,102765374,163690271,230890896
064007,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,19834443,41908420,7020800
421301,2017-10-01 00:00:00,2018-09-30 00:00:00,Settled,,8479543,63703300
374016,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,12549735,26608701,
270086,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,53192481,35421163,135017609
260091,2018-01-01 00:00:00,2018-12-31 00:00:00,Reopened,537858820,1031034042,981703226
450395,2018-07-01 00:00:00,2019-06-30 00:00:00,Settled,43328368,73642043,231366362
390063,2018-07-01 00:00:00,2019-06-30 00:00:00,Reopened,335986715,1781257154,1308109176
331990,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,,1717210,
444023,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,4403998,9397364,3265
360112,2018-01-01 00:00:00,2018-12-31 00:00:00,Reopened,407157458,1580301570,1271093376
454094,2018-09-01 00:00:00,2019-08-31 00:00:00,Settled,32150560,130288209,16685988
150172,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,37690187,19197571,161963770
100090,2017-10-01 00:00:00,2018-09-30 00:00:00,Settled,230069566,613014844,513158411
070031,2017-10-01 00:00:00,2018-09-30 00:00:00,Reopened,159776299,255909483,371288423
360036,2018-01-01 00:00:00,2018-12-31 00:00:00,Reopened,118549720,107991110,185312929
241361,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,,12660319,44060684
260108,2018-01-01 00:00:00,2018-12-31 00:00:00,Reopened,495025594,705588775,1042082370
061324,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,,25178383,84515962
050222,2017-10-01 00:00:00,2018-09-30 00:00:00,Settled,367398851,1409127841,807453248
050546,2018-07-01 00:00:00,2019-06-30 00:00:00,Settled,173844985,154645500,132208
431306,2018-07-01 00:00:00,2019-06-30 00:00:00,Settled,,6819731,13081152
370015,2018-04-01 00:00:00,2019-03-31 00:00:00,Settled,20432923,14543972,94222986
444022,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,7275057,11814615,1447383
340166,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,148123750,255898338,682389492
053305,2018-09-01 00:00:00,2019-08-31 00:00:00,Reopened,,3988038636,1038418648
393027,2018-07-01 00:00:00,2019-06-30 00:00:00,Settled,22427777,38106971,2780333
340060,2017-10-01 00:00:00,2017-12-31 00:00:00,Settled,15871558,17139429,25305511
470012,2017-10-01 00:00:00,2018-09-30 00:00:00,Settled,118752826,62401174,232885562
351302,2018-07-01 00:00:00,2019-06-30 00:00:00,Settled w/Audit,24459793,5503759,17951414
040002,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,31678629,25206085,50910786
390115,2018-07-01 00:00:00,2019-06-30 00:00:00,Reopened,423292471,1294584971,872168238
390302,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,17892186,18504490,9491437
010089,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,80160533,353104374,444459758
390036,2018-07-01 00:00:00,2019-06-30 00:00:00,Settled w/Audit,215899002,217657950,414761252
313025,2018-01-01 00:00:00,2018-12-31 00:00:00,Reopened,184570214,272281346,194767249
394007,2018-07-01 00:00:00,2019-02-01 00:00:00,Settled,14795606,81622200,
501333,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,,22272780,113558707
184007,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,14248645,39116450,8695100
150030,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,78639957,69395217,158024782
050468,2018-01-01 00:00:00,2018-12-31 00:00:00,Settled,92137660,506774264,190269840
