PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
051315,2023-01-01 00:00:00,2023-12-31 00:00:00,As Submitted,27792770,11200660,21060163
381301,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,,9085574,68360119
390325,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,128559543,48670712,316027621
231300,2023-07-01 00:00:00,2024-06-30 00:00:00,Settled,24440740,4114352,50748788
051303,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,,24111739,120255707
504004,2023-07-01 00:00:00,2024-06-30 00:00:00,Reopened,184825078,202817425,10795
322004,2023-03-01 00:00:00,2024-02-29 00:00:00,Settled,10432416,19555138,18156
103052,2023-01-01 00:00:00,2023-12-31 00:00:00,As Submitted,17626662,29126951,
390196,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,,492760063,1291068987
312020,2023-09-01 00:00:00,2024-08-31 00:00:00,As Submitted,49323436,276019207,912665
461300,2023-01-01 00:00:00,2023-12-31 00:00:00,Settled,,3879014,25114887
010175,2022-10-01 00:00:00,2023-09-30 00:00:00,Settled,22014525,21471208,33503365
010073,2022-10-01 00:00:00,2023-09-30 00:00:00,Settled,20407576,14314469,22856114
210048,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,291732072,245289952,127944312
390228,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,375025026,562588576,1044706838
144042,2022-10-01 00:00:00,2022-12-31 00:00:00,Settled,8111462,22372700,960619
100268,2023-01-01 00:00:00,2023-12-31 00:00:00,As Submitted,169473264,929961340,1029769947
180020,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,51000033,41783320,187293151
281346,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,,1991353,9922332
103038,2023-01-01 00:00:00,2023-12-31 00:00:00,Amended,22646460,38893645,
340168,2023-01-01 00:00:00,2023-12-31 00:00:00,Amended,23674124,34480850,53515971
192004,2023-09-01 00:00:00,2024-05-18 00:00:00,As Submitted,11220757,24537668,
030107,2023-01-01 00:00:00,2023-12-31 00:00:00,As Submitted,43854806,86705109,179796891
400118,2023-01-01 00:00:00,2023-12-31 00:00:00,As Submitted,85918519,119250305,72168424
161381,2023-01-01 00:00:00,2023-12-31 00:00:00,As Submitted,,13691912,62760745
351327,2022-10-01 00:00:00,2023-09-30 00:00:00,Settled,23747748,13726769,17528557
231320,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,,6352579,80817095
140088,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,2125958140,5740707300,6201991122
104078,2022-11-01 00:00:00,2023-10-31 00:00:00,Settled,10071425,23178000,173515
140125,2023-03-01 00:00:00,2023-12-31 00:00:00,Settled,69795687,248633236,339916978
052036,2023-09-01 00:00:00,2024-08-31 00:00:00,As Submitted,41183722,168427201,1778725
050054,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,101731627,172889245,326220850
321311,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,,33625150,207692941
070007,2022-10-01 00:00:00,2023-09-30 00:00:00,Amended,406119755,436344124,901841968
490059,2023-09-01 00:00:00,2024-08-31 00:00:00,As Submitted,519686300,1482724585,1410420632
460015,2023-01-01 00:00:00,2023-12-31 00:00:00,Amended,207887006,187598607,527591089
450668,2023-06-01 00:00:00,2024-05-31 00:00:00,As Submitted,211869298,1865764720,1088050266
192008,2023-09-01 00:00:00,2024-08-31 00:00:00,As Submitted,14516217,54944548,
100007,2023-01-01 00:00:00,2023-12-31 00:00:00,Amended,4607098838,18521933482,14325040988
261327,2022-11-01 00:00:00,2023-10-31 00:00:00,Settled,,4347148,35034373
141305,2023-01-01 00:00:00,2023-12-31 00:00:00,As Submitted,,12848715,86847205
171374,2023-01-01 00:00:00,2023-12-31 00:00:00,Settled,,1915970,18035144
041300,2023-07-01 00:00:00,2024-06-30 00:00:00,Amended,,8654198,20474371
334001,2023-04-01 00:00:00,2024-03-31 00:00:00,Settled,84610365,252856,10453801
241345,2023-01-01 00:00:00,2023-12-31 00:00:00,Settled,,7081984,33683787
360006,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,1267423347,3484325500,2364723162
440057,2023-07-01 00:00:00,2024-06-30 00:00:00,Amended,32650956,26589264,68411687
364011,2023-07-01 00:00:00,2024-06-30 00:00:00,Amended,55563492,556206,
310086,2023-07-01 00:00:00,2024-06-30 00:00:00,As Submitted,700182846,2302842178,1647825060
261302,2022-10-01 00:00:00,2023-09-30 00:00:00,Settled,22334995,12053308,35259489
140103,2023-01-01 00:00:00,2023-12-31 00:00:00,Settled,112527076,78036000,75457116
