Provider_Number,STATUS,FYB,FYE,Hospital_Name,Street_Address,City,PO_Box,State,Zip_Code,County,MSA,rpt_rec_num,fy,IME_PART_A,IME_PART_C,IME_Capital_PPS,Total_IME_Payments,DSH_Part_A,DSH_Part_C,Total_DSH_Payments,DGME_Part_A_and_C,DGME_Part_B,Total_DGME_Payments,Hospital_Beds,Labor_Delivery_Beds,Total_Hosp_Beds,Total_Hosp_Medicare_Days,Total_Hosp_Medicaid_Days,Total_Hosp_Days,Total_Hosp_Bed_Days_Available,Interns_and_Residents,Total_Hosp_Employees_on_Payroll,Total_Hosp_Nonpaid_Workers,Total_Hosp_CHIP_Discharges,Total_Hosp_Medicare_Discharges,Total_Hosp_Medicaid_Discharges,Total_Hosp_Discharges,Medicaid_HMO_Discharges,Medicaid_HMO_IPF_Subp_Discharges,Medicaid_HMO_IRF_Subp_Discharges,Medicaid_IPF_Subp_Discharges,Medicaid_IRF_Subp_Discharges,Total_IPF_Subp_Discharges,Total_IRF_Subp_Discharges
010008,AS_SUBMITTED,10/01/2024,02/10/2025,CRENSHAW COMMUNITY HOSPITAL,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,101 HOSPITAL CIRCLE,AL,36049,CRENSHAW,0,813747,2025,0,0,0,0,5331,0,5331,0,0,0,29,0,29,152,48,459,3857,0,100.29,0,0,32,13,104,0,0,0,43,0,136,0
010175,SETTLED,10/01/2024,11/30/2024,EAMC-LANIER,4800 48TH STREET,VALLEY,,AL,36854,,580,808926,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030037,AS_SUBMITTED,10/03/2024,12/31/2024,HONORHEALTH TEMPE MEDICAL CENTER,1500 S. MILL AVENUE,TEMPE,,AZ,85281,MARICOPA,6200,812176,2025,0,0,0,0,30778,0,30778,0,0,0,74,0,74,138,485,1164,6660,0,46.34,0,0,41,157,378,0,0,0,0,0,0,0
030121,AS_SUBMITTED,10/03/2024,12/31/2024,HONORHEALTH MOUNTAIN VISTA MED CTR,1301 S. CRISMON ROAD,MESA,,AZ,85209,MARICOPA,6200,812185,2025,186088,0,31026,217114,82676,0,82676,386715,178223,564938,187,7,194,500,1546,4866,17460,35.4,149.45,0,0,156,361,1280,0,0,0,3,0,66,0
050125,AS_SUBMITTED,01/01/2025,03/31/2025,REGIONAL MEDICAL CENTER OF SAN JOSE,225 NORTH JACKSON AVENUE,SAN JOSE,,CA,95116,SANTA CLARA,7400,827668,2025,0,0,0,0,706177,0,706177,0,0,0,252,0,252,2692,345,8731,22680,0,816.74,0,0,463,62,1641,357,0,0,0,0,0,0
064029,SETTLED,01/01/2025,02/28/2025,JOHNSTOWN HEIGHTS BEHAVIORAL HEALTH,4770 LARIMER PARKWAY,JOHNSTOWN,,CO,80534,,3060,819100,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064030,AS_SUBMITTED,03/06/2025,06/30/2025,WEST PINES BEHAVIORAL HOSPITAL,11455 HURON STREET,WESTMINSTER,,CO,80234,,2080,823553,2025,0,0,0,0,0,0,0,0,0,0,144,0,144,334,85,4690,16848,0,113.7,0,0,36,8,694,111,0,0,71,0,99,0
100019,AS_SUBMITTED,10/01/2024,12/31/2024,HOLMES REGL MEDICAL CENTER,1350 SOUTH HICKORY STREET,MELBOURNE,,FL,32901,BREVARD,4900,812456,2025,0,0,0,0,323950,0,323950,0,0,0,550,0,550,9097,3358,36569,50600,0,616.52,0,0,1773,671,7715,577,0,0,0,0,0,0
100029,AS_SUBMITTED,10/30/2024,12/31/2024,NORTH SHORE MEDICAL CENTER AND FMC,1100 NW 95TH STREET,MIAMI,,FL,33150-2038,MIAMI-DADE,5000,812462,2025,0,0,0,0,108814,0,108814,0,0,0,748,0,748,1002,6,7219,47124,0,1037.31,0,0,199,3,1565,219,0,0,0,0,0,0
100047,AS_SUBMITTED,10/01/2024,02/27/2025,BAYFRONT HEALTH PUNTA GORDA,809 EAST MARION AVENUE,PUNTA GORDA,,FL,33950,CHARLOTTE,6580,815415,2025,0,0,0,0,0,0,0,0,0,0,28,0,28,0,0,0,4200,0,15.35,0,0,0,0,0,0,0,0,0,0,8,0
