PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
154009,2010-07-01 00:00:00,2011-06-30 00:00:00,Settled,28724652,5653576,25772857
412001,2010-07-01 00:00:00,2011-06-30 00:00:00,Settled,98335538,102704473,
230100,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,44784374,16265820,74016509
200037,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,68069422,48724069,90469780
370100,2010-07-01 00:00:00,2011-06-30 00:00:00,Settled,10865797,12785569,12996608
381325,2010-07-01 00:00:00,2011-06-30 00:00:00,Settled,,35195913,67018286
342014,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,41224043,125972763,50180572
181330,2010-07-01 00:00:00,2011-06-30 00:00:00,Settled,,11677347,38535569
161319,2010-07-01 00:00:00,2011-06-30 00:00:00,Settled,,1352755,6734642
370006,2010-06-01 00:00:00,2011-05-31 00:00:00,Reopened,39570632,80212215,107431312
230046,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,1818751185,2250086059,2165445886
500141,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,149135687,396240997,375552486
390256,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,721957167,1112552280,979231788
390008,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,29487766,28627342,28599350
490142,2010-09-09 00:00:00,2011-06-30 00:00:00,Settled,8323171,13470619,
430005,2010-06-01 00:00:00,2011-05-31 00:00:00,Settled,51086527,48157365,66550263
322003,2010-06-01 00:00:00,2011-05-31 00:00:00,Settled,6606295,8829354,
510072,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,19387207,15817985,36600884
442007,2010-09-01 00:00:00,2011-08-31 00:00:00,Reopened,15256893,53457602,134036
241309,2010-07-01 00:00:00,2011-06-30 00:00:00,Settled,19200163,8216974,18561640
450082,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,26829727,49492237,81821423
400001,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,57306336,70483655,31018674
531312,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,46592912,49197080,44614522
050042,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,65101148,108895408,164133433
440059,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,190151911,249739411,217714693
390162,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,136885794,735109115,510106761
112005,2010-09-01 00:00:00,2011-08-31 00:00:00,Settled,25681557,42647725,13892661
050315,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,203052848,387759121,234975927
120027,2010-07-01 00:00:00,2011-06-30 00:00:00,Amended,58439352,97507682,78064009
371322,2010-07-01 00:00:00,2011-06-30 00:00:00,Settled,,704491,2678377
161365,2010-07-01 00:00:00,2011-06-30 00:00:00,Settled,,8734633,37598477
050441,2010-09-01 00:00:00,2011-08-31 00:00:00,Settled w/Audit,1443906913,4056267603,2959486829
010130,2010-07-01 00:00:00,2011-06-30 00:00:00,As Submitted,15785530,19495223,40481486
160069,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,95052446,168650993,102477178
060016,2010-07-01 00:00:00,2011-06-30 00:00:00,Reopened,39059191,57236226,67819499
231320,2010-07-01 00:00:00,2011-06-30 00:00:00,Settled,,3123133,28150378
170200,2010-09-15 00:00:00,2011-07-31 00:00:00,Reopened,35581830,36849892,37385113
