PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
030134,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,21477453,36893837,103774941
264025,2020-07-01 00:00:00,2020-11-30 00:00:00,Settled,6715520,6756534,
361301,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,,7636740,39306715
430013,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,68714802,71964211,210706870
521305,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,,8859239,39320379
490020,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,80439619,436054058,596435974
171335,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,,6492858,10220957
381320,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,,35558644,215948678
121301,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,30587779,6408690,24591830
440015,2020-01-01 00:00:00,2020-12-31 00:00:00,Reopened,699401302,1466719337,1903830133
251336,2019-10-01 00:00:00,2020-09-30 00:00:00,Settled,,6067349,25790927
330104,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,292549794,735646275,438951356
210051,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,213221518,163825533,89044017
252008,2020-09-01 00:00:00,2021-08-31 00:00:00,Settled,11823695,38712074,13809
370029,2020-04-01 00:00:00,2021-03-31 00:00:00,Settled,21572807,28014513,74264760
140143,2019-10-01 00:00:00,2020-09-30 00:00:00,Reopened,74361025,57243304,158627726
281336,2019-10-01 00:00:00,2020-09-30 00:00:00,Settled,41543780,18159703,46008483
250044,2019-10-01 00:00:00,2020-09-30 00:00:00,Settled,17826702,27867218,48030371
391312,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,26240350,10775723,59585287
450709,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,176035554,485876348,653362075
232033,2020-03-01 00:00:00,2021-02-28 00:00:00,Settled,14529506,86789089,179518
050541,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,374728839,547685203,385004708
344033,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,22460823,21646671,
351316,2019-10-01 00:00:00,2020-09-30 00:00:00,Settled,,2362316,8333476
230142,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,142006923,249989341,406686651
670265,2020-07-01 00:00:00,2020-08-31 00:00:00,Settled,5204128,22124438,25599485
191319,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,15915039,6594262,11666496
370041,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,54643046,156491431,160909522
040004,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,284033508,848900152,621916392
330231,2020-07-01 00:00:00,2021-06-30 00:00:00,Reopened,630727220,269425296,361301924
420108,2019-10-01 00:00:00,2020-09-30 00:00:00,Settled,26588914,10511525,80394930
100128,2019-10-01 00:00:00,2020-09-30 00:00:00,Amended,1305097428,5159641909,2553551375
141317,2019-10-01 00:00:00,2020-09-30 00:00:00,Settled w/Audit,81013912,60773752,153631721
370218,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,98860919,221718306,336291932
010073,2019-10-01 00:00:00,2020-09-30 00:00:00,Settled,18838377,16038329,19367775
673034,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,22396924,44101579,
330235,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,103301061,116285423,154764243
371320,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,,5021323,20428919
362038,2020-03-01 00:00:00,2021-02-28 00:00:00,Settled,11568047,32044240,10607
210060,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,52846066,24301151,29251123
420104,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,79430065,86095039,196956488
131311,2019-10-01 00:00:00,2020-09-30 00:00:00,Settled,34412253,18653806,53099669
520097,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,89980498,135263604,296814571
390204,2020-07-01 00:00:00,2021-06-30 00:00:00,As Submitted,148396033,385573836,303944075
410012,2019-10-01 00:00:00,2020-09-30 00:00:00,Settled w/Audit,400337631,608040663,787312876
400019,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,69768113,110954838,106994177
390199,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,31991733,16817049,81424756
370056,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,184437003,433628128,551341978
110150,2019-10-01 00:00:00,2019-12-31 00:00:00,Settled,12726192,15487291,27299821
103037,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,23473779,41044218,630
160101,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,120550777,67580786,211639892
150010,2020-07-01 00:00:00,2021-06-30 00:00:00,Reopened,125179762,208161606,391745473
490093,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,188900708,363406006,590436247
281323,2020-07-01 00:00:00,2021-06-30 00:00:00,Settled,,1814823,14400915
400126,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,15942714,13222125,15792513
390272,2020-07-01 00:00:00,2021-06-13 00:00:00,Settled,10562207,20596930,
410004,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,158465543,232051252,307376687
141310,2019-10-01 00:00:00,2020-09-30 00:00:00,Settled,,8708955,60920734
350019,2020-01-01 00:00:00,2020-12-31 00:00:00,As Submitted,395824303,387358491,827013693
260108,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,517820357,776382702,1115679033
260085,2020-01-01 00:00:00,2020-12-31 00:00:00,Settled,122057002,377114263,323208928
450358,2020-01-01 00:00:00,2020-12-31 00:00:00,Amended,1670778572,5872035354,3597739358
