PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
521311,2011-10-01 00:00:00,2012-09-30 00:00:00,Reopened,,6481144,21535273
380051,2011-10-01 00:00:00,2012-09-30 00:00:00,Reopened,466282891,565912219,439374652
380020,2012-01-01 00:00:00,2012-12-31 00:00:00,Reopened,100540588,208222950,155145014
370011,2012-07-01 00:00:00,2013-06-30 00:00:00,Reopened,12722964,12930282,29433031
670075,2012-01-01 00:00:00,2012-12-31 00:00:00,Reopened,79251659,109253974,128400886
194089,2012-01-01 00:00:00,2012-12-31 00:00:00,Settled,4805911,9118964,6664700
330030,2012-01-01 00:00:00,2012-12-31 00:00:00,Reopened,71420794,83819189,106013237
224028,2012-07-01 00:00:00,2013-06-30 00:00:00,Settled,8144773,9701430,510620
140234,2012-07-01 00:00:00,2013-06-30 00:00:00,Reopened,48163008,54971108,127363990
460007,2012-01-01 00:00:00,2012-12-31 00:00:00,Reopened,47629294,37772142,66238968
030126,2012-01-01 00:00:00,2012-12-31 00:00:00,Reopened,42298804,113924867,78191332
050305,2012-01-01 00:00:00,2012-12-31 00:00:00,Reopened,536002818,1388382924,620317337
300018,2012-01-01 00:00:00,2012-12-31 00:00:00,Reopened,210280070,203183365,435242785
050073,2012-01-01 00:00:00,2012-12-31 00:00:00,Reopened,371703516,2770633,4333098
471304,2011-10-01 00:00:00,2012-09-30 00:00:00,Settled,,23855001,92463946
241321,2012-07-01 00:00:00,2013-06-30 00:00:00,Settled,7753944,4192585,5376855
161316,2012-01-01 00:00:00,2012-12-31 00:00:00,Settled,,4623439,20507117
110034,2012-07-01 00:00:00,2013-06-30 00:00:00,Reopened,486304762,811078981,795179922
392046,2011-11-01 00:00:00,2012-10-31 00:00:00,Settled,17061294,62120502,
294008,2012-01-01 00:00:00,2012-12-31 00:00:00,Settled,3971834,8793879,
100142,2011-10-01 00:00:00,2012-09-30 00:00:00,Reopened,34579655,39489337,70734643
110200,2012-07-01 00:00:00,2013-06-30 00:00:00,Reopened,59606756,158380112,33549052
161357,2012-07-01 00:00:00,2013-06-30 00:00:00,Settled w/Audit,,5987345,27624615
100068,2012-01-01 00:00:00,2012-12-31 00:00:00,Reopened,189001915,456469865,339864209
393027,2012-07-01 00:00:00,2013-06-30 00:00:00,Reopened,34862754,73055321,5432530
010157,2012-04-01 00:00:00,2013-03-31 00:00:00,Reopened,30909023,69789447,65172538
192007,2012-01-01 00:00:00,2012-12-31 00:00:00,Settled,12383749,35463692,
190133,2012-07-01 00:00:00,2013-06-30 00:00:00,Reopened,9266414,7635144,7291225
263302,2012-07-01 00:00:00,2013-06-30 00:00:00,Reopened,,792035055,582647670
340133,2012-05-01 00:00:00,2013-04-30 00:00:00,Reopened,22473510,68614627,66690918
260011,2012-01-01 00:00:00,2012-12-31 00:00:00,Settled,111203941,195225804,165018059
281340,2012-03-01 00:00:00,2013-02-28 00:00:00,Settled,,1243156,5102160
241314,2011-10-01 00:00:00,2012-09-30 00:00:00,Settled,12367637,7452014,8950920
460033,2012-01-01 00:00:00,2012-12-31 00:00:00,Reopened,10573065,5200655,7979257
260027,2012-01-01 00:00:00,2012-12-31 00:00:00,Reopened,253817904,957170753,652629941
192016,2012-06-01 00:00:00,2013-05-31 00:00:00,Settled,10321447,33636767,
171357,2011-10-01 00:00:00,2012-09-30 00:00:00,Reopened,,1986717,5067252
451346,2012-07-01 00:00:00,2013-06-30 00:00:00,Settled,,9490274,22852358
220163,2011-10-01 00:00:00,2012-09-30 00:00:00,Reopened,1159357710,1706648922,1669092657
171372,2012-07-01 00:00:00,2013-06-30 00:00:00,Settled w/Audit,,6825609,15129343
121306,2012-07-01 00:00:00,2013-06-30 00:00:00,Settled w/Audit,16381904,13163916,6359523
511312,2012-01-01 00:00:00,2012-12-31 00:00:00,Settled,,8893564,26675553
531312,2012-07-01 00:00:00,2013-06-30 00:00:00,Settled w/Audit,54911504,49520165,57125021
