Provider_Number,STATUS,FYB,FYE,Hospital_Name,Street_Address,City,PO_Box,State,Zip_Code,County,MSA,rpt_rec_num,fy,IME_PART_A,IME_PART_C,IME_Capital_PPS,Total_IME_Payments,DSH_Part_A,DSH_Part_C,Total_DSH_Payments,DGME_Part_A_and_C,DGME_Part_B,Total_DGME_Payments,Hospital_Beds,Labor_Delivery_Beds,Total_Hosp_Beds,Total_Hosp_Medicare_Days,Total_Hosp_Medicaid_Days,Total_Hosp_Days,Total_Hosp_Bed_Days_Available,Interns_and_Residents,Total_Hosp_Employees_on_Payroll,Total_Hosp_Nonpaid_Workers,Total_Hosp_CHIP_Discharges,Total_Hosp_Medicare_Discharges,Total_Hosp_Medicaid_Discharges,Total_Hosp_Discharges,Medicaid_HMO_Discharges,Medicaid_HMO_IPF_Subp_Discharges,Medicaid_HMO_IRF_Subp_Discharges,Medicaid_IPF_Subp_Discharges,Medicaid_IRF_Subp_Discharges,Total_IPF_Subp_Discharges,Total_IRF_Subp_Discharges
010006,REOPENED,07/01/2010,06/30/2011,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO,FLORENCE,818,AL,35631-,LAUDERDALE,2650,807671,2010,0,0,0,0,3607186,0,3607186,0,0,0,358,0,358,29900,8242,55101,130670,0,985.6,0,0,5237,1707,12006,0,0,0,0,0,0,0
010011,REOPENED,07/01/2010,06/30/2011,ST. VINCENTS EAST,50 MEDICAL PARK DRIVE EAST,BIRMINGHAM,,AL,35235-,JEFFERSON,1000,652990,2010,1381721,0,54673,1436394,1713414,0,1713414,811414,226049,1037463,279,0,279,21746,6358,65673,104573,14.42,1119.44,0,0,3937,1457,13059,0,0,0,0,0,17,224
010023,SETTLED,07/01/2010,06/30/2011,BAPTIST MEDICAL CENTER SOUTH,2105  EAST SOUTH BOULEVARD,MONTGOMERY,11010,AL,36116-,MONTGOMERY,5240,526526,2010,2678762,0,159239,2838001,10808215,0,10808215,617878,229442,847320,363,0,363,22671,25705,80013,132495,41.52,1712,0,0,5152,3786,18204,0,0,0,0,0,1520,0
010025,REOPENED,07/01/2010,06/30/2011,GEORGE H. LANIER HOSPITAL,4800 48TH STREET,VALLEY,,AL,36854-,CHAMBERS,580,811246,2010,0,0,0,0,1216779,0,1216779,0,0,0,84,0,84,8201,2489,14560,30660,0,330.86,0,0,1331,436,2885,0,0,0,0,0,0,0
010027,REOPENED,07/01/2010,06/30/2011,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,,AL,35323,COFFEE,,553032,2010,0,0,0,0,103634,0,103634,0,0,0,20,0,20,922,348,1758,7300,0,97.68,0,0,244,148,589,0,0,0,0,0,0,0
010035,SETTLED,07/01/2010,06/30/2011,CULLMAN REGIONAL,1912 ALABAMA HIGHWAY 157,CULLMAN,,AL,35056-,CULLMAN,0,532764,2010,0,0,0,0,2424956,0,2424956,0,0,0,115,0,115,14786,5013,26730,41975,0,870.09,0,0,3102,1770,7221,0,0,0,0,0,0,0
010038,REOPENED,07/01/2010,06/30/2011,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH STREET,ANNISTON,38,AL,36207,CALHOUN,450,769230,2010,0,0,0,0,1446434,0,1446434,0,0,0,125,0,125,9508,1941,16899,45625,0,338,0,0,2356,570,4660,0,0,0,0,0,0,0
010039,REOPENED,07/01/2010,06/30/2011,HUNTSVILLE HOSPITAL,101 SIVLEY ROAD,HUNTSVILLE,,AL,35801-,MADISON,3440,776843,2010,3270439,0,196499,3466938,15417129,0,15417129,890745,341680,1232425,782,0,782,81042,41077,207859,285430,35.71,5083.29,0,0,14505,7580,45038,0,0,0,198,0,1669,0
010043,REOPENED,07/01/2010,06/30/2011,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON,,AL,35045,CHILTON,0,768934,2010,0,0,0,0,41297,0,41297,0,0,0,27,0,27,1340,109,2724,9855,0,117.98,0,0,276,63,629,0,0,0,0,0,0,0
010046,REOPENED,07/01/2010,06/30/2011,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH 3RD STREET,GADSDEN,268,AL,35901,ETOWAH,2880,769646,2010,0,0,0,0,1620312,0,1620312,0,0,0,256,0,256,25288,3918,41721,93440,0,584,0,0,4102,718,7547,0,0,0,0,0,309,0
