PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
141341,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,5035583,51495116
452018,2021-04-01 00:00:00,2022-03-31 00:00:00,Settled,12334125,23960455,383
410007,2020-10-01 00:00:00,2021-09-30 00:00:00,Amended,1263003675,1891555071,2044842681
041323,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,35070428,20089738,48260517
203025,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,29234430,52239792,3464303
100307,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,245799559,497686721,875911663
330106,2021-01-01 00:00:00,2021-12-31 00:00:00,Amended,1593396031,6076516108,2699794692
310003,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,177033016,488080237,367985627
400130,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,8702306,8221998,6903244
100249,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,90892686,530761266,482371248
110031,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,149826637,499915916,402771580
054055,2021-01-01 00:00:00,2021-12-31 00:00:00,Amended,56713551,130460685,20680038
380089,2021-04-01 00:00:00,2022-03-31 00:00:00,Settled,237316703,283536564,358921492
260104,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,438769079,767768237,847760126
050772,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,916726195,1829357836,1753715835
670059,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,43838159,65574828,193100720
330182,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,643897555,2326726432,1726337299
440031,2021-07-01 00:00:00,2022-06-30 00:00:00,Reopened,38349876,63998278,81132213
670300,2021-03-24 00:00:00,2021-06-30 00:00:00,Settled,18371248,10863574,23362279
050100,2020-10-01 00:00:00,2021-09-30 00:00:00,Amended,1023396147,3712213040,2245891941
454127,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,21427279,39771117,11151526
330073,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,95547023,87141445,184890940
031317,2020-10-01 00:00:00,2021-09-30 00:00:00,Amended,,17557893,60736904
161360,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,8175429,48159385
010033,2020-10-01 00:00:00,2021-09-30 00:00:00,Amended,1800398312,5828808636,3733775425
291303,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,14043916,3360602,14584452
014018,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,3423935,3617539,
161356,2021-07-01 00:00:00,2022-06-30 00:00:00,Reopened,40192688,6827228,50124338
102017,2021-08-01 00:00:00,2022-07-31 00:00:00,Settled,15220747,94904494,16804
030147,2020-11-17 00:00:00,2020-12-31 00:00:00,Settled,9416473,16615008,15563931
380090,2021-07-01 00:00:00,2022-06-30 00:00:00,Amended,216733333,229054600,306836906
180105,2021-03-01 00:00:00,2022-02-28 00:00:00,Settled,16190053,14072578,25808443
171364,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,2411042,6038329
041324,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,,6758334,49060556
220163,2020-10-01 00:00:00,2021-09-30 00:00:00,Amended,1809159914,2755857831,3240510235
171343,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,3065746,4828477
500124,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,581418392,816396305,1060658730
260179,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,457455066,680116230,1044228574
104063,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,10161460,29304004,1093950
371304,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,6198232,9090639
061321,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,10002008,66600688
300019,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,217269953,132625224,512844984
231303,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,6381109,64170889
140127,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,197604349,269162835,295489804
010008,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,14362828,14735227,22077622
150046,2021-09-01 00:00:00,2022-08-31 00:00:00,Settled,109841978,402760840,416041365
281305,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,2777325,19392442
310058,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,196060539,343993343,165296094
110161,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,1799905747,2557000474,5673181611
043301,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,32060874,140681605
330033,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,57812613,43152123,133216250
670004,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,25916749,20381442,55830104
180001,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,143732591,221864537,200274465
451384,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,12290791,49721474
510046,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,168267317,246005286,430578041
231314,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,,2440322,32287278
144041,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,22115594,59226270,5961765
050663,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,134906673,531394323,46325327
364062,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,13451108,54207001,396000
050444,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,307126452,1024995908,764595688
393046,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,19296248,38364996,
440151,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,57254397,104007891,224038390
370203,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,108667469,131264145,472756545
031305,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,,6006,130480
310006,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,134028879,475323328,339427513
420109,2020-10-01 00:00:00,2021-09-30 00:00:00,Amended,46305379,81993252,173937023
480002,2020-10-01 00:00:00,2021-09-30 00:00:00,As Submitted,,65097620,47131130
351323,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,4401564,7553274
460041,2021-04-01 00:00:00,2022-03-31 00:00:00,Settled,132793152,207520051,397508961
360078,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,150472307,262779427,443491902
134009,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,4445252,6204703,
040137,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,76516253,226546109,155272255
260219,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,84239920,122186955,201227948
363039,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,13744516,32956197,
452073,2021-06-01 00:00:00,2021-08-31 00:00:00,Reopened,5076131,21667506,
281306,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,2485192,18139510
080001,2021-07-01 00:00:00,2022-06-30 00:00:00,Amended,2048376145,2916806955,2191171391
010024,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,233158200,605042215,577612221
194096,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,5746714,11486140,2564810
150006,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,137448226,309430153,426509534
