PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
030010,2013-07-01 00:00:00,2014-06-30 00:00:00,Reopened,189687449,490098185,373368132
464009,2013-07-01 00:00:00,2014-06-30 00:00:00,Settled,44046556,86505325,20940910
180066,2013-03-01 00:00:00,2014-02-28 00:00:00,Reopened,18276367,33248881,57456443
151317,2013-01-01 00:00:00,2013-12-31 00:00:00,Reopened,,13779583,43490209
280105,2013-07-01 00:00:00,2014-06-30 00:00:00,Reopened,46956823,61278365,114753990
340126,2012-10-01 00:00:00,2013-09-30 00:00:00,Settled w/Audit,121705164,201330257,250104804
361301,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled,,8713182,26679985
100157,2012-10-01 00:00:00,2013-09-30 00:00:00,Reopened,494295042,1548604628,1191720600
310031,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled,123542867,405509855,286067640
201312,2012-10-01 00:00:00,2013-09-30 00:00:00,Settled,,25887297,79814690
262016,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled,12482908,40479731,
220177,2012-10-01 00:00:00,2013-09-30 00:00:00,Reopened,28972086,5555283,43348865
670005,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled,16394440,5494966,70441081
141321,2013-07-01 00:00:00,2014-06-30 00:00:00,Settled,,3664258,26840046
140158,2013-07-01 00:00:00,2014-06-30 00:00:00,Reopened,202994049,297344797,286248540
051308,2013-07-01 00:00:00,2014-06-30 00:00:00,Settled,4817809,2369025,1477448
454084,2013-09-01 00:00:00,2014-08-31 00:00:00,Reopened,65628864,68478701,
341319,2012-10-01 00:00:00,2013-09-30 00:00:00,Settled w/Audit,56061578,27879477,101450157
430091,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled,38192641,111124705,26762361
451321,2012-10-01 00:00:00,2013-09-30 00:00:00,Settled,,3739831,8775440
341320,2012-10-01 00:00:00,2013-09-30 00:00:00,Settled,,4858054,13886257
141327,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled w/Audit,,17110626,40984421
521316,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled,19165757,6958823,16945866
040062,2013-07-01 00:00:00,2014-06-30 00:00:00,Reopened,200076129,396382116,262013924
370100,2013-07-01 00:00:00,2014-06-30 00:00:00,Reopened,10654249,14379973,16049580
360180,2013-01-01 00:00:00,2013-12-31 00:00:00,Reopened,2012599684,4098719227,4478993442
310002,2013-01-01 00:00:00,2013-12-31 00:00:00,Reopened,443300081,1612668598,579323604
264016,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled,22805543,91037065,7171565
241366,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled w/Audit,25463673,17202949,25176407
364049,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled,10100957,25192100,4752690
370106,2013-07-01 00:00:00,2014-06-30 00:00:00,Reopened,182427815,660033066,392699713
014012,2012-10-01 00:00:00,2013-09-30 00:00:00,Settled,18640889,16806119,61666
451305,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled,,5832947,30252461
490067,2013-03-01 00:00:00,2014-02-28 00:00:00,Reopened,150553769,739313992,710963037
451339,2013-01-01 00:00:00,2013-12-31 00:00:00,Reopened,,864031,1452086
270086,2013-01-01 00:00:00,2013-12-31 00:00:00,Reopened,15133439,22505896,18273866
232026,2013-01-01 00:00:00,2013-12-31 00:00:00,Settled,9047729,19618631,
