Provider_Number,STATUS,FYB,FYE,Hospital_Name,Street_Address,City,PO_Box,State,Zip_Code,County,MSA,rpt_rec_num,fy,IME_PART_A,IME_PART_C,IME_Capital_PPS,Total_IME_Payments,DSH_Part_A,DSH_Part_C,Total_DSH_Payments,DGME_Part_A_and_C,DGME_Part_B,Total_DGME_Payments,Hospital_Beds,Labor_Delivery_Beds,Total_Hosp_Beds,Total_Hosp_Medicare_Days,Total_Hosp_Medicaid_Days,Total_Hosp_Days,Total_Hosp_Bed_Days_Available,Interns_and_Residents,Total_Hosp_Employees_on_Payroll,Total_Hosp_Nonpaid_Workers,Total_Hosp_CHIP_Discharges,Total_Hosp_Medicare_Discharges,Total_Hosp_Medicaid_Discharges,Total_Hosp_Discharges,Medicaid_HMO_Discharges,Medicaid_HMO_IPF_Subp_Discharges,Medicaid_HMO_IRF_Subp_Discharges,Medicaid_IPF_Subp_Discharges,Medicaid_IRF_Subp_Discharges,Total_IPF_Subp_Discharges,Total_IRF_Subp_Discharges
440072,REOPENED,02/01/2014,01/31/2015,DYERSBURG REGIONAL MEDICAL CENTER,400 TICKLE STREET,DYERSBURG,,TN,38024,DYER,0,610178,2014,0,0,0,0,330153,0,330153,0,0,0,95,0,95,6682,2805,13518,34675,0,364.46,0,0,1959,848,4073,0,0,0,0,0,0,0
440073,REOPENED,07/01/2014,06/30/2015,MAURY REGIONAL HOSPITAL,1224 TROTWOOD AVENUE,COLUMBIA,,TN,38401-,MAURY,0,673443,2014,0,0,0,0,241104,796330,1037434,0,0,0,255,0,255,18565,8645,46034,93075,2,1647.6,0,0,4857,2506,14014,0,0,0,0,0,0,0
440081,REOPENED,01/01/2014,12/31/2014,LECONTE MEDICAL CENTER,742 MIDDLE CREEK ROAD,SEVIERVILLE,8005,TN,37862-5019,SEVIER,3840,705253,2014,0,0,0,0,248504,0,248504,0,0,0,56,19,75,4770,3724,16244,25575,0,414,0,0,1238,914,4459,0,0,0,0,0,0,0
440082,REOPENED,07/01/2014,06/30/2015,SAINT THOMAS WEST HOSPITAL,4220 HARDING ROAD,NASHVILLE,,TN,37202,DAVIDSON,5360,762296,2014,1499157,0,72414,1571571,0,0,0,393228,127441,520669,441,0,441,38516,0,85997,131273,10.54,1316.22,0,0,7563,0,17448,1646,0,0,0,0,189,0
440083,REOPENED,01/01/2014,12/31/2014,JAMESTOWN REGIONAL MEDICAL CENTER,436 CENTRAL AVENUE WEST,JAMESTOWN,PO BOX 1500,TN,38556,FENTRESS,0,708514,2014,0,0,0,0,141475,0,141475,0,0,0,75,0,75,3604,523,4994,27375,0,108.27,0,0,977,154,1470,0,0,0,0,0,168,0
440084,SETTLED,07/01/2014,06/30/2015,SWEETWATER HOSPITAL ASSOCIATION,304 CHURCH STREET,SWEETWATER,,TN,37874,MONROE,0,626340,2014,0,0,0,0,110959,0,110959,0,0,0,59,0,59,4219,261,11030,21535,0,440.03,0,0,741,351,2120,0,0,0,0,0,0,0
440091,REOPENED,07/01/2014,06/30/2015,MEMORIAL HEALTH CARE SYSTEM INC.,2525 DE SALES AVENUE,CHATTANOOGA,,TN,37404,HAMILTON,1560,762369,2014,0,0,0,0,0,0,0,0,0,0,405,0,405,56246,2867,115680,147825,0,2419,0,0,11457,1119,24416,0,0,0,0,0,0,0
440102,SETTLED,07/01/2014,06/30/2015,LINCOLN REGIONAL HOSPITAL,106 MEDICAL CENTER BLVD,FAYETTEVILLE,,TN,37324,LINCOLN,0,631155,2014,0,0,0,0,107033,0,107033,0,0,0,49,5,54,2658,381,5849,19710,0,257.57,0,0,697,232,1263,0,0,0,1,0,156,0
440104,REOPENED,07/01/2014,06/30/2015,ERLANGER MEDICAL CENTER,975 EAST THIRD STREET,CHATTANOOGA,,TN,37403-,HAMILTON,1560,758742,2014,13937588,0,590189,14527777,4239904,0,4239904,3343035,1155370,4498405,563,0,563,39453,15850,162244,195666,151.78,2890.11,0,0,7786,3884,30297,5598,0,0,0,0,239,0
440109,REOPENED,07/01/2014,06/30/2015,HARDIN MEDICAL CENTER,935 WAYNE ROAD,SAVANNAH,,TN,38372,HARDIN,0,643190,2014,0,0,0,0,206001,0,206001,0,0,0,49,0,49,4158,1775,7469,17885,0,308.01,0,0,721,674,1493,0,0,0,0,0,0,0
440110,REOPENED,01/01/2014,12/31/2014,FORT LOUDOUN MEDICAL CENTER,550 FORT LOUDOUN MEDICAL CENTER DR,LENOIR CITY,,TN,37772-1965,LOUDON,3840,640999,2014,0,0,0,0,0,0,0,0,0,0,30,0,30,2680,584,7089,10950,0,190,0,0,677,136,1813,0,0,0,0,0,0,0
440111,REOPENED,07/01/2014,06/30/2015,METRO NASHVILLE GENERAL HPSPITAL,1818 ALBION STREE,NASHVILLE,,TN,37208,DAVIDSON,5360,763642,2014,859805,0,67361,927166,219941,0,219941,555738,311647,867385,114,0,114,1433,4992,17366,41610,45.29,566.2,0,0,313,899,3762,0,0,0,0,0,0,0
440120,REOPENED,10/01/2013,09/30/2014,METRO KNOXVILLE HMA  LLC PHYS REGNL,900 OAK HILL AVENUE,KNOXVILLE,,TN,37917-,KNOX,3840,780076,2014,0,0,0,0,996606,0,996606,0,0,0,548,0,548,29987,11705,94242,200020,0,1985.74,0,0,6516,374,22160,0,0,0,111,5,1394,352
440125,REOPENED,01/01/2014,12/31/2014,FORT SANDERS REGIONAL MEDICAL CENTER,1901 CLINCH AVE,KNOXVILLE,,TN,37916-2307,KNOX,3840,641000,2014,0,0,0,0,979328,0,979328,0,0,0,280,32,312,23095,3582,78263,113942,0,1333,0,0,4324,0,15293,2984,0,29,0,0,0,702
440130,REOPENED,10/01/2013,09/30/2014,BAPTIST MEM HOSPITAL UNION CITY,1101 BISHOP STREET,UNION CITY,,TN,38261,OBION,0,741301,2014,0,0,0,0,146751,0,146751,0,0,0,63,10,73,4242,0,7583,26645,0,310.21,0,0,1036,15,1797,342,0,0,148,0,549,0
440131,REOPENED,10/01/2013,09/30/2014,BAPTIST MEM HOSPITAL TIPTON COUNTY,1995 HIGHWAY 51 SOUTH,COVINGTON,,TN,38019,TIPTON,4920,614080,2014,0,0,0,0,172124,0,172124,0,0,0,100,4,104,1146,0,3878,37960,0,274.33,0,0,318,0,1217,504,0,0,0,0,0,0
440132,SETTLED,07/01/2014,06/30/2015,HENRY COUNTY MEDICAL CENTER,301 TYSON AVENUE,PARIS,1080,TN,38242,HENRY,0,626121,2014,0,0,0,0,145859,0,145859,0,0,0,92,0,92,6025,1656,11586,33580,0,436.06,0,0,1578,412,3084,0,0,0,0,0,259,0
440133,REOPENED,07/01/2014,06/30/2015,SAINT THOMAS MIDTOWN HOSPITAL,2000 CHURCH ST,NASHVILLE,,TN,37236,DAVIDSON,5360,700174,2014,1588377,0,71187,1659564,1212153,0,1212153,422105,121429,543534,435,22,457,22135,0,107803,150855,18.22,1364.68,0,0,4480,1,21598,6139,0,0,0,1,0,473
440137,REOPENED,04/01/2014,03/31/2015,BEDFORD COUNTY MEDICAL CENTER,845 UNION ST,SHELBYVILLE,,TN,37160,BEDFORD,0,670557,2014,0,0,0,0,75532,0,75532,0,0,0,60,0,60,3002,680,6349,21900,0,198.69,0,0,754,216,1787,0,0,0,0,0,0,0
440141,SETTLED,07/01/2014,07/30/2015,CUMBERLAND RIVER HOSPITAL,100 OLD JEFFERSON STREET,CELINA,,TN,38551,CLAY,0,645448,2014,0,0,0,0,69524,0,69524,0,0,0,28,0,28,2050,0,2688,11060,0,96.47,0,0,220,0,321,52,0,0,0,0,156,0
440144,REOPENED,06/01/2014,05/31/2015,HARTON REGIONAL MEDICAL CENTER,1801 NORTH JACKSON STREET,TULLAHOMA,,TN,37388,COFFEE,0,610388,2014,0,0,0,0,408314,0,408314,0,0,0,99,0,99,11069,3711,22448,36135,0,424.5,0,0,2171,565,4809,0,0,0,0,0,0,0
440147,SETTLED,10/01/2013,09/30/2014,BMH GERMANTOWN,2100 EXETER,GERMANTOWN,,TN,38138,SHELBY,4920,614297,2014,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,365,0,191.7,0,0,0,0,0,0,0,0,0,13,0,716
440148,REOPENED,01/01/2014,12/31/2014,DEKALB COMMUNITY HOSPITAL,520 W MAIN,SMITHVILLE,640,TN,37166,DEKALB,0,640127,2014,0,0,0,0,13627,0,13627,0,0,0,52,0,52,1605,4,3350,18980,0,135.16,0,0,387,1,890,72,0,0,0,0,0,0
440150,REOPENED,01/01/2014,12/31/2014,SUMMIT MEDICAL CENTER,5655 FRIST BLVD,HERMITAGE,,TN,37076-,DAVIDSON,5360,647830,2014,0,0,0,0,317470,0,317470,0,0,0,174,0,174,15044,363,43845,60062,0,758.25,0,0,3334,14,10201,1353,0,0,0,5,0,279
